g,basis,Nspec,parity,inversion,Nsweep,Nsites,energy,energy uncertainty
0.2,m,4,none,none,10,3,-0.04980953548648338,5.015325552909173e-9
0.2,dvr,4,none,none,10,3,-0.050370980254826205,5.963374150388733e-9
0.2,m,4,none,none,20,3,-0.0498095354864834,0.0
0.2,dvr,4,none,none,20,3,-0.05037098025482621,2.634178031930877e-9
0.2,m,4,none,none,50,3,-0.0498095354864834,1.3170890159654386e-9
0.2,dvr,4,none,none,50,3,-0.05037098025482619,3.15826851088799e-9
2.0,m,3,none,none,10,10,-13.865578782614243,0.0018046973434545652
2.0,dvr,3,none,none,10,10,-29.56408006655713,4.963574780604339e-5
2.0,m,3,none,none,20,10,-13.865578782614245,0.001804697319831455
2.0,dvr,3,none,none,20,10,-29.56408006655716,4.9625439834077505e-5
2.0,m,3,none,none,50,10,-13.865578782614218,0.0018046973985751547
2.0,dvr,3,none,none,50,10,-29.56408006655714,4.964032843984846e-5
2.0,m,3,none,none,10,5,-5.982526045242511,0.036018482734844065
2.0,dvr,3,none,none,10,5,-12.802130657943648,5.402035741983508e-5
2.0,m,3,none,none,20,5,-5.983811831716529,0.0020323112877299065
2.0,dvr,3,none,none,20,5,-12.802130657943646,5.4020883546880205e-5
2.0,m,3,none,none,50,5,-5.983816478048383,2.6656007498500226e-7
2.0,dvr,3,none,none,50,5,-12.802130657943637,5.4019305150372024e-5
2.0,m,3,none,none,10,3,-2.897021609023341,7.179329359490179e-6
2.0,dvr,3,none,none,10,3,-6.09736461174695,1.884864366154897e-7
2.0,m,3,none,none,20,3,-2.897021609096249,5.960464477539063e-8
2.0,dvr,3,none,none,20,3,-6.097364611746949,1.884864366154897e-7
2.0,m,3,none,none,50,3,-2.8970216090962477,7.300048299977713e-8
2.0,dvr,3,none,none,50,3,-6.097364611746944,2.2302015940987714e-7
1.7,m,3,none,none,10,10,-11.167799626093027,0.0017487674643747683
1.7,dvr,3,none,none,10,10,-24.206650804326166,8.732631734300124e-5
1.7,m,3,none,none,20,10,-11.167819707827583,0.0032515566900383703
1.7,dvr,3,none,none,20,10,-24.20665080432616,8.732501547102707e-5
1.7,m,3,none,none,50,10,-11.168032117292222,0.0020653247247017356
1.7,dvr,3,none,none,50,10,-24.206650804326177,8.73191568069437e-5
1.7,m,3,none,none,10,5,-4.7921724302917115,0.044329767024218855
1.7,dvr,3,none,none,10,5,-10.427295163456744,9.497404921469276e-5
1.7,m,3,none,none,20,5,-4.794112702172187,0.0010381120125809251
1.7,dvr,3,none,none,20,5,-10.427295163456744,9.497427365765441e-5
1.7,m,3,none,none,50,5,-4.794113688314812,8.429369702178807e-8
1.7,dvr,3,none,none,50,5,-10.427295163456748,9.497360032717824e-5
1.7,m,3,none,none,10,3,-2.310190967928958,4.0059465407244096e-6
1.7,dvr,3,none,none,10,3,-4.915586343940676,1.0323827311807139e-7
